rank,adverb,comparative,superlative,meaning_ru,collocations
2,non,,,не,
23,no,,,нет,
34,bene,meglio,ottimamente,хорошо,
35,qui,,,здесь,
39,solo,,,только,
54,sì,,,да,
55,ora,,,сейчас / час,
66,mai,,,никогда,
69,anche,,,тоже / также,
77,molto,più,moltissimo,очень / много,
78,più,,,более / больше,
90,prima,,,сначала / прежде / раньше,
99,davvero,,,действительно / правда,
100,ancora,,,ещё,
105,così,,,так / таким образом,
109,su,,,на / наверх,
119,sempre,,,всегда,
128,forse,,,может быть / возможно,
130,proprio,,,именно / прямо / точно,
131,certo,,,конечно / наверняка,
134,poi,,,затем / потом,
142,fuori,,,снаружи / вне,
156,dopo,,,после / потом,
157,adesso,,,сейчас / теперь,
172,meglio,,,лучше,
192,già,,,уже,
195,troppo,,,слишком,
200,male,peggio,pessimamente,плохо,
203,tanto,più,tantissimo,столько / так (много),
230,appena,,,едва / только что,
236,oggi,,,сегодня,
250,dentro,,,внутри / внутрь,
274,insieme,,,вместе,
277,subito,,,сразу / немедленно,
319,meno,,,менее / меньше,
321,avanti,,,вперёд / вперёд,
326,lì,,,там,
329,mentre,,,в то время как / пока,
341,domani,,,завтра,
343,abbastanza,,,довольно / достаточно,
352,comunque,,,в любом случае / однако,
355,nemmeno,,,даже не,
358,presto,più presto,prestissimo,быстро / рано,
370,neanche,,,даже не,
375,qua,,,здесь / сюда,
381,quasi,,,почти,
396,invece,,,вместо / напротив,
404,almeno,,,по крайней мере,
410,magari,,,если бы / хотя бы / возможно,
441,indietro,,,назад,
448,tardi,più tardi,tardissimo,поздно,
453,ieri,,,вчера,
471,veramente,,,действительно / по-настоящему,
499,poco,meno,pochissimo,мало / немного,
502,vicino,più vicino,vicinissimo,близко,
558,esattamente,,,точно / в точности,
588,là,,,там / туда,
657,durante,,,во время,
691,assolutamente,,,абсолютно,
725,giù,,,вниз / внизу,
744,lontano,più lontano,lontanissimo,далеко,
860,completamente,,,полностью,
869,ormai,,,уже / к тому же,
896,spesso,più spesso,spessissimo,часто,
994,grosso,,,грубо / примерно,
1158,stanotte,,,этой ночью,
1360,soprattutto,,,прежде всего / главным образом,
1416,inoltre,,,кроме того / к тому же,
1602,anzi,,,наоборот / скорее,
1794,parecchio,,,довольно много / порядочно,
2401,attorno,,,вокруг / около,
2421,neppure,,,даже не,
2619,perfino,,,даже,
2635,malapena,,,едва / с трудом,
3716,appunto,,,именно / как раз,
3754,volentieri,,,охотно,
3846,addirittura,,,даже / вплоть до,
7068,precisamente,,,в точности / именно,
7832,raramente,,,редко,
11757,oltretutto,,,к тому же / помимо прочего,
